,Draw Number,Date,Immigration program,Invitations issued,CRS score of lowest-ranked candidate invited,Date (hidden),Programs covered,Month,Year,month_year,Date Full
157,16,9/8/2015,No program specified,1517,459,8/9/2015,Canadian Experience Class  Federal Skilled Worker Program  Federal Skilled Worker Program  Provincial Nominee Program,9,2015,9/1/2015,8-Sep-15
158,15,8/21/2015,No program specified,1523,456,8/21/2015,Canadian Experience Class  Federal Skilled Worker Program  Federal Skilled Worker Program  Provincial Nominee Program,8,2015,8/1/2015,21-Aug-15
159,14,8/7/2015,No program specified,1402,471,7/8/2015,Canadian Experience Class  Federal Skilled Worker Program  Federal Skilled Worker Program  Provincial Nominee Program,8,2015,8/1/2015,7-Aug-15
160,13,7/17/2015,No program specified,1581,451,7/17/2015,Canadian Experience Class  Federal Skilled Worker Program  Federal Skilled Worker Program  Provincial Nominee Program,7,2015,7/1/2015,17-Jul-15
161,12,7/10/2015,No program specified,1516,463,10/7/2015,Canadian Experience Class  Federal Skilled Worker Program  Federal Skilled Worker Program  Provincial Nominee Program,7,2015,7/1/2015,10-Jul-15
162,11,6/26/2015,No program specified,1575,469,6/26/2015,Canadian Experience Class  Federal Skilled Worker Program  Federal Skilled Worker Program  Provincial Nominee Program,6,2015,6/1/2015,26-Jun-15
163,10,6/12/2015,No program specified,1501,482,12/6/2015,Canadian Experience Class  Federal Skilled Worker Program  Federal Skilled Worker Program  Provincial Nominee Program,6,2015,6/1/2015,12-Jun-15
164,9,5/22/2015,No program specified,1361,755,5/22/2015,Canadian Experience Class  Federal Skilled Worker Program  Federal Skilled Worker Program  Provincial Nominee Program,5,2015,5/1/2015,22-May-15
165,8,4/17/2015,No program specified,715,453,4/17/2015,Canadian Experience Class  Federal Skilled Worker Program  Federal Skilled Worker Program  Provincial Nominee Program,4,2015,4/1/2015,17-Apr-15
166,7,4/10/2015,No program specified,925,469,10/4/2015,Canadian Experience Class  Federal Skilled Worker Program  Federal Skilled Worker Program  Provincial Nominee Program,4,2015,4/1/2015,10-Apr-15
167,6,3/27/2015,No program specified,1637,453,3/27/2015,Canadian Experience Class  Federal Skilled Worker Program  Federal Skilled Worker Program  Provincial Nominee Program,3,2015,3/1/2015,27-Mar-15
168,5,3/20/2015,No program specified,1620,481,3/20/2015,Canadian Experience Class  Federal Skilled Worker Program  Federal Skilled Worker Program  Provincial Nominee Program,3,2015,3/1/2015,20-Mar-15
169,4,2/27/2015,No program specified,1187,735,2/27/2015,Canadian Experience Class  Federal Skilled Worker Program  Federal Skilled Worker Program  Provincial Nominee Program,2,2015,2/1/2015,27-Feb-15
170,3,2/20/2015,Canadian Experience Class,849,808,2/20/2015,Canadian Experience Class,2,2015,2/1/2015,20-Feb-15
171,2,2/7/2015,No program specified,779,818,7/2/2015,Canadian Experience Class  Federal Skilled Worker Program  Federal Skilled Worker Program  Provincial Nominee Program,2,2015,2/1/2015,7-Feb-15
172,1,1/31/2015,No program specified,779,886,1/31/2015,Canadian Experience Class  Federal Skilled Worker Program  Federal Skilled Worker Program  Provincial Nominee Program,1,2015,1/1/2015,31-Jan-15
